iter	Passed	Remaining
0	183	183639
1	184	92273
2	185	61775
3	186	46509
4	187	37357
5	188	31255
6	189	26945
7	191	23704
8	192	21147
9	192	19099
10	194	17445
11	194	16051
12	195	14874
13	196	13865
14	197	12989
15	198	12233
16	199	11555
17	200	10953
18	201	10412
19	202	9926
20	203	9490
21	204	9096
22	205	8727
23	206	8404
24	207	8101
25	209	7832
26	210	7569
27	211	7325
28	211	7096
29	213	6890
30	214	6693
31	214	6501
32	215	6325
33	216	6159
34	217	5999
35	218	5852
36	219	5711
37	220	5581
38	222	5480
39	223	5364
40	224	5251
41	225	5144
42	226	5040
43	227	4943
44	228	4849
45	229	4756
46	230	4666
47	231	4582
48	232	4502
49	232	4426
50	233	4353
51	234	4280
52	235	4210
53	236	4145
54	237	4081
55	238	4020
56	239	3959
57	240	3904
58	242	3860
59	242	3804
60	243	3752
61	244	3702
62	245	3654
63	246	3605
64	247	3558
65	248	3514
66	249	3470
67	250	3428
68	250	3385
69	253	3365
70	255	3339
71	256	3300
72	257	3264
73	258	3228
74	258	3193
75	259	3159
76	260	3126
77	261	3092
78	262	3059
79	263	3028
80	264	2998
81	265	2969
82	265	2936
83	267	2918
84	269	2902
85	270	2875
86	271	2847
87	272	2820
88	272	2794
89	273	2768
90	274	2743
91	275	2717
92	276	2693
93	276	2669
94	277	2645
95	278	2622
96	279	2599
97	280	2577
98	281	2565
99	283	2550
100	284	2529
101	284	2509
102	285	2488
103	286	2468
104	287	2449
105	288	2429
106	288	2411
107	289	2392
108	290	2374
109	291	2356
110	292	2338
111	292	2321
112	293	2304
113	294	2288
114	296	2279
115	297	2268
116	298	2251
117	299	2236
118	299	2220
119	300	2205
120	301	2190
121	302	2175
122	302	2160
123	303	2145
124	304	2131
125	305	2117
126	305	2102
127	306	2089
128	307	2076
129	308	2062
130	309	2051
131	311	2046
132	311	2033
133	312	2020
134	313	2008
135	314	1996
136	315	1984
137	315	1972
138	316	1961
139	317	1950
140	318	1939
141	318	1926
142	319	1916
143	320	1905
144	321	1894
145	322	1883
146	322	1873
147	324	1868
148	325	1859
149	326	1850
150	327	1840
151	328	1830
152	328	1820
153	329	1810
154	330	1800
155	331	1791
156	331	1782
157	332	1772
158	333	1763
159	334	1754
160	334	1744
161	335	1735
162	336	1726
163	336	1717
164	337	1709
165	339	1703
166	339	1694
167	340	1686
168	341	1678
169	342	1670
170	342	1662
171	343	1654
172	344	1647
173	345	1639
174	346	1632
175	347	1624
176	347	1617
177	348	1609
178	349	1602
179	350	1594
180	350	1587
181	351	1580
182	352	1573
183	353	1567
184	354	1560
185	355	1553
186	355	1547
187	356	1540
188	357	1533
189	358	1527
190	359	1520
191	359	1513
192	360	1507
193	361	1500
194	361	1494
195	362	1487
196	363	1481
197	364	1475
198	365	1469
199	365	1463
200	366	1457
201	367	1451
202	368	1446
203	369	1440
204	369	1434
205	370	1428
206	371	1422
207	372	1417
208	372	1411
209	373	1405
210	374	1400
211	375	1394
212	375	1389
213	376	1383
214	377	1378
215	378	1372
216	378	1367
217	379	1361
218	380	1356
219	381	1351
220	382	1347
221	382	1342
222	383	1337
223	384	1332
224	385	1327
225	386	1322
226	386	1317
227	387	1312
228	388	1307
229	389	1302
230	389	1297
231	390	1292
232	391	1288
233	392	1283
234	392	1278
235	393	1273
236	394	1269
237	395	1264
238	395	1260
239	396	1256
240	397	1252
241	398	1247
242	399	1243
243	399	1239
244	400	1234
245	401	1230
246	402	1226
247	403	1222
248	403	1217
249	404	1213
250	405	1209
251	405	1204
252	406	1200
253	407	1196
254	408	1192
255	408	1188
256	409	1184
257	410	1181
258	411	1177
259	412	1173
260	413	1169
261	413	1165
262	414	1161
263	415	1157
264	416	1154
265	416	1150
266	417	1146
267	418	1142
268	419	1138
269	419	1135
270	420	1131
271	421	1128
272	422	1124
273	422	1120
